Gender,CustomerType,Age,TypeofTravel,Class,FlightDistancemiles,Inflightwifiservice,DepartureArrivaltimeconvenient,EaseofOnlinebooking,Gatelocation,Foodanddrink,Onlineboarding,Seatcomfort,Inflightentertainment,Onboardservice,Legroomservice,Baggagehandling,Checkinservice,Inflightservice,Cleanliness,DepartureDelayinMinutes,ArrivalDelayinMinutes,satisfaction
Male,Loyal Customer,46,Personal Travel,Eco,296,5,5,5,5,3,5,3,3,5,2,4,3,4,3,0,0,satisfied
Male,disloyal Customer,40,Business travel,Business,700,2,2,2,2,2,2,2,2,5,4,4,3,5,2,83,80,neutralordissatisfied
Female,Loyal Customer,8,Personal Travel,Eco,216,3,0,3,2,1,3,1,1,3,3,4,5,4,1,4,8,neutralordissatisfied
Male,Loyal Customer,37,Personal Travel,Eco Plus,529,3,5,3,3,5,3,5,5,4,3,4,4,5,5,0,0,neutralordissatisfied
Male,Loyal Customer,38,Business travel,Business,3893,3,3,3,3,4,2,2,4,4,4,4,5,4,3,11,0,satisfied
Male,Loyal Customer,61,Personal Travel,Eco,651,2,5,2,4,3,2,3,3,5,3,1,5,4,3,0,0,neutralordissatisfied
Male,Loyal Customer,60,Business travel,Business,3990,4,4,4,4,3,2,5,5,5,5,5,1,5,3,1,6,satisfied
Male,Loyal Customer,48,Business travel,Business,1464,5,5,3,5,3,3,1,5,5,5,5,3,5,4,59,44,satisfied
Male,Loyal Customer,42,Business travel,Business,2041,4,4,4,4,3,5,4,4,4,4,4,4,4,4,0,4,satisfied
Male,Loyal Customer,41,Business travel,Business,2342,2,2,2,2,4,4,4,3,3,5,4,4,5,4,3,0,satisfied
Female,Loyal Customer,44,Business travel,Business,2253,0,0,0,4,3,5,4,5,5,5,5,5,5,3,13,4,satisfied
Female,disloyal Customer,56,Business travel,Eco,95,3,2,3,3,3,3,5,3,1,3,3,4,4,3,3,0,neutralordissatisfied
Male,Loyal Customer,40,Personal Travel,Eco,78,5,4,0,4,1,0,1,1,3,1,3,3,4,1,0,0,satisfied
Male,Loyal Customer,9,Personal Travel,Eco,678,2,4,2,3,3,2,5,3,5,4,4,4,5,3,84,68,neutralordissatisfied
Female,Loyal Customer,44,Business travel,Eco,462,5,5,5,5,3,5,3,4,4,5,4,1,4,1,0,2,satisfied
Male,Loyal Customer,34,Business travel,Business,3860,5,5,5,5,1,4,1,2,2,2,2,2,2,1,0,6,satisfied
Male,Loyal Customer,46,Business travel,Eco,376,2,5,5,5,2,2,2,2,3,3,3,5,1,2,6,0,satisfied
Male,Loyal Customer,49,Business travel,Business,3720,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0,satisfied
Female,Loyal Customer,35,Business travel,Business,1589,1,1,4,1,5,4,5,5,5,4,5,5,5,4,23,0,satisfied
Male,Loyal Customer,62,Personal Travel,Eco,101,2,5,2,1,2,2,2,2,5,3,5,2,2,2,0,0,neutralordissatisfied
Female,Loyal Customer,28,Business travel,Business,2320,3,3,3,3,3,4,3,3,3,5,5,3,4,3,39,35,satisfied
Female,disloyal Customer,48,Business travel,Eco,944,4,3,3,4,5,3,1,5,3,2,3,4,4,5,0,24,neutralordissatisfied
Female,Loyal Customer,23,Personal Travel,Eco,2296,3,4,3,3,3,2,2,3,2,5,5,2,3,2,0,9,neutralordissatisfied
Female,Loyal Customer,24,Personal Travel,Eco,632,5,5,5,2,5,5,1,5,4,4,5,4,4,5,0,0,satisfied
Male,Loyal Customer,42,Business travel,Business,1774,4,4,4,4,2,4,2,4,4,4,4,5,4,3,0,0,satisfied
Female,Loyal Customer,41,Business travel,Business,2986,3,3,3,3,3,4,4,3,3,3,3,4,3,3,16,9,satisfied
Female,Loyal Customer,7,Personal Travel,Eco,216,3,3,0,4,2,0,1,2,1,2,3,1,3,2,0,0,neutralordissatisfied
Female,disloyal Customer,24,Business travel,Business,600,5,0,5,3,1,5,1,1,4,2,5,5,4,1,0,0,satisfied
Female,Loyal Customer,42,Business travel,Business,967,2,2,2,2,5,5,4,2,2,2,2,5,2,3,33,16,satisfied
Male,Loyal Customer,58,Business travel,Business,2232,1,1,1,1,5,4,5,4,4,4,4,4,4,3,6,3,satisfied
Female,Loyal Customer,47,Business travel,Eco,689,5,2,2,2,4,5,2,5,5,5,5,4,5,4,0,0,satisfied
Female,Loyal Customer,32,Business travel,Business,1598,5,5,5,5,4,5,4,4,5,3,3,5,4,4,0,0,satisfied
Female,disloyal Customer,47,Business travel,Eco,266,2,0,3,4,5,3,4,5,1,1,5,3,3,5,1,0,neutralordissatisfied
Female,Loyal Customer,45,Business travel,Eco,534,3,4,4,4,1,3,3,3,3,3,3,1,3,2,0,0,neutralordissatisfied
Male,Loyal Customer,73,Business travel,Eco Plus,203,1,1,3,1,2,1,2,2,1,5,3,4,3,2,3,0,neutralordissatisfied
Male,Loyal Customer,38,Business travel,Eco,959,4,2,4,2,4,4,4,4,1,3,2,1,5,4,0,0,satisfied
Female,disloyal Customer,26,Business travel,Business,265,5,0,5,4,2,5,2,2,4,5,4,5,4,2,13,22,satisfied
Female,Loyal Customer,49,Business travel,Business,2362,2,2,4,2,5,5,5,4,4,4,4,5,4,4,3,11,satisfied
Male,disloyal Customer,37,Business travel,Eco,425,2,1,2,3,1,2,4,1,3,5,2,3,3,1,3,15,neutralordissatisfied
Female,Loyal Customer,26,Personal Travel,Eco,2475,4,1,3,3,1,3,1,1,2,5,3,2,4,1,16,15,neutralordissatisfied
Male,Loyal Customer,43,Business travel,Eco Plus,31,5,5,4,5,4,5,4,4,4,3,5,5,2,4,0,0,satisfied
Male,disloyal Customer,19,Business travel,Eco,480,3,1,3,4,5,3,5,5,2,5,4,3,3,5,0,4,neutralordissatisfied
Male,Loyal Customer,48,Business travel,Business,2491,5,5,5,5,5,4,5,5,5,5,5,3,5,5,0,0,satisfied
Female,Loyal Customer,37,Personal Travel,Eco,602,5,3,4,4,3,4,3,3,5,3,5,5,5,3,0,0,satisfied
Male,Loyal Customer,44,Business travel,Business,817,3,3,3,3,1,2,1,5,5,5,5,5,5,3,2,0,satisfied
Female,Loyal Customer,33,Personal Travel,Eco,359,3,4,3,4,3,1,1,5,4,4,4,1,3,1,245,228,neutralordissatisfied
Male,Loyal Customer,7,Personal Travel,Eco,468,4,1,4,3,1,4,1,1,4,2,4,3,4,1,89,100,neutralordissatisfied
Male,Loyal Customer,65,Business travel,Business,1126,1,3,3,3,4,4,3,1,1,1,1,3,1,4,53,63,neutralordissatisfied
Male,Loyal Customer,57,Personal Travel,Eco,1670,1,3,1,4,4,1,4,4,3,1,4,1,4,4,0,0,neutralordissatisfied
Male,Loyal Customer,55,Personal Travel,Eco Plus,147,1,4,1,3,2,1,2,2,3,3,4,3,4,2,0,0,neutralordissatisfied
Male,Loyal Customer,44,Business travel,Eco Plus,109,4,3,3,3,4,4,4,4,3,1,2,1,3,4,0,0,satisfied
Male,Loyal Customer,58,Business travel,Business,588,5,5,5,5,4,5,4,5,5,5,5,5,5,4,19,21,satisfied
Female,Loyal Customer,51,Personal Travel,Eco,1547,3,3,3,3,2,2,2,2,2,3,2,4,2,3,0,0,neutralordissatisfied
Male,Loyal Customer,45,Business travel,Business,3728,5,5,5,5,4,5,5,5,5,5,5,3,5,3,4,1,satisfied
Male,Loyal Customer,56,Business travel,Business,472,3,5,2,5,2,3,3,3,3,3,3,4,3,4,33,25,neutralordissatisfied
Female,Loyal Customer,35,Personal Travel,Eco,2288,1,3,2,3,3,2,3,3,2,1,4,2,4,3,0,0,neutralordissatisfied
Female,Loyal Customer,49,Business travel,Business,251,2,3,4,3,2,2,2,2,2,4,3,2,3,2,141,143,neutralordissatisfied
Female,Loyal Customer,69,Personal Travel,Eco,488,2,0,2,3,5,5,4,5,5,2,5,3,5,5,0,0,neutralordissatisfied
Male,Loyal Customer,27,Business travel,Eco,2541,0,0,0,5,0,5,5,3,5,3,1,5,4,5,0,21,satisfied
Male,disloyal Customer,39,Business travel,Eco,790,4,4,4,3,2,4,2,2,4,1,4,4,5,2,23,0,satisfied
Male,Loyal Customer,32,Business travel,Business,3200,3,5,5,5,3,3,3,3,4,2,3,3,3,3,45,40,neutralordissatisfied
